,리뷰
12647,ㅠㅠ 자주 시켜먹었는데 오늘 탕수육에서 수세미가... 나왔어요.. 맛도 전체적으로 바뀐듯하네요ㅠㅠ 탕수육은 엄청 눅눅하고 오도독 뭐가 씹히고 일단ㅋㅋㅋ 수세미가 너무 충격적이였어요 찝찝해서 이제 안시켜먹을듯...
12651,아무리 빨리 배달해주고 맛잇는집이라 할지라도.... 살아있는 벌레가 같이 배달오는거는 아니지 않나요??? 실망입니다. 청결좀 유지하세요..
12666,왕 불어터진 자장면 완전식은 탕수욕 나와
12668,리뷰너무 좋아 시켰는데... 1시간이상 걸리는 배달에 식어서 배달이 되서 너무 실망이네요
12688,일회용접시에..맛이너무없네요..
12694,1시간안에 드실수 있는분만 시켜드시는게 좋을거같아요 안그럼 저같은꼴나요 혼자서 3만원어치 시킨다음에 6시에 음식 받았는데 식사시간 너무 짧게주네요 문자내용만 보면 알겠듯이 적어도 중간중간 자주 왔다는건데 그럼 30분이나 1시간안에 먹으라는건가ㅋㅋ영업시간8시30분인가 8시40분이길래 오늘은 그릇회수 안하겠거니 하고 여유롭게 먹을랬더니 겁나 다급하시네 배달음식 시켜먹는 이유가 편하려고 시켜먹지 이렇게 다급해지려고 시켜먹나 이딴 서비스정신으로 성공이나 하실련지 무튼 빨리 드시는분들께 강추하는 음식점입니다
12704,김치볶음밥 기름기가 많네요
12711,배달굳 양도굳 맛은동강
12712,배달이 빠르면 뭐해요^^ 간짜장 곱빼기를 시켰으면 그 양에 따라서 양념고 많이 줬어야죠 3분의 일정도는 양념부족해서 비비지도 못했구요 짬뽕이나 짜장면도 면 다 뿔어있었고요 여기가 왜 평점 높은지도 모르겠네요ㅋㅋㅋㅋㅋ다시는 절대 안시킬려구요
12722,쟁반짜장 곱빼기 시켰는데 곱빼기가아닌 그냥 1인분양인거같은데..곱빼기 맞나요?? 좀 실망이 크네요....
12737,리뷰많아서 시켜봣는데 자장면노맛 그냥 양파즙맛 짬뽕은 불맛이좀낫으면좋앗을텐데 그래도 걍 쏘쏘 세트라그런지 탕슉양은 적지만 소스는 쓸데없이많네요 자장면이너무노맛이라 짜이찌엔..
12738,꼬들꼬들하고 맛있구요. 짜장 곱배기 시켰는데 보통와서 그냥 먹었어요. 사천 탕슉 맛있네요. 양이 넘나 작았으나 ... 짜장이 맛있어서패스 ㅋ 짬뽕은 약간 음... 밍숭 했으요.... 그래도 잘 먹었습니다. 다시 또 다른 메뉴 도전 해볼라구요. 배달아저씨 넘나 무서웠음 ㅋ
12743,탕수육은 눅눅하게 쩔어있고 짜장면은 소스가 모자라고 맛도없고 볶음밥은 총체적 난국이네요. 다시는 안시켜먹을듯
12749,너무 밍밍하고... 소스도 뭔가 좀 그랬네요
12777,이번 배달이 유난히 늦었습니다..
12789,배달 태도가 안 좋다.
12790,으 괴롭다 탕수육 너무 고되었다
12804,짜장면이 엄청 짜서 식구들이 불평했네요
12811,처음부터 배달 소요시간을 비오는날에 맞춰서 알려줬으면 합니다.
12813,맛없었어요 탕수육돼지비린내 나고 ㅠ 실패
